a|Det,N
partly|Adv
past|Adj
pay|N
peak|N
peer|N
per|Prep
period|N
phase|N
pick|N
pie|N
pile|N
pine|N
plan|N
plane|N
plant|N
player|N
plenty|N
plot|N
plus|Prep,Adj,N,Conj
pocket|N
poetry|N
policy|N
poll|N
poor|Adj
pop|N
porch|N
port|N
pose|V,N
pot|N
pound|N
pour|V,N
pray|Adj
prayer|N
press|V,N
priest|N
prime|Adj
prior|Adj,N,Adv
prompt|N
proper|N
prove|V
pure|Adj
pursue|V
quiet|Adj
quite|Adv
racial|Adj
rank|N
rarely|Adv
rating|N,V
ratio|N
re|N
reach|N
react|V,N
read|V,N
reader|N
really|Adv
recent|Adj
red|N,Adj
refer|V,N
regard|N
regarding|Prep
reminder|N
regime|N
relate|V
remote|Adj
reply|Adv
request|N,V
resort|N
rest|N
retain|V
rid|N
rise|V,N
rock|N
role|N
roll|N
root|N
rope|N
row|N
rub|N
rush|N
sacred|Adj
safety|N
sake|N
salary|N
sale|N
sales|N
saving|N,Adj,Prep,V
scared|Adj,V
scope|N
schedule|N,V
score|N
scream|N
sector|N
secure|N
see|V
seem|V
seize|V
self|Adj
send|V,N
serve|V,N
set|N
severe|Adj
shade|N
shake|N
shall|Modal
shape|N
sharp|Adj
sheet|N
shelf|N
shirt|N
shore|N
shot|N,Adj,V
should|Modal
shout|V,N
show|V,N
shower|N
shut|V,Adj
sigh|N
signal|N,V,Adj
simply|Adv
sin|N
singer|N
single|Adj
sink|N
sir|N
sit|N
site|N
sky|N
slave|N
slip|N
slowly|Adv
smell|N
soil|N
some|Det
son|N
speech|N
stair|N
stake|N
star|N
stare|N
status|N
steady|N
steal|V,N
stir|N
stop|V,N
store|N,V
storm|N,V
stream|N
stress|N
string|N,V
strip|N
stroke|N
studio|N
study|N,V
stupid|Adj
sue|N
summit|N
surely|Adv
sweep|N
tactic|N
take|V,N
tale|N
tall|Adj
tap|N
tax|N
tea|N
tear|N
teen|Adj
tend|N
terms|N
terror|N
than|Conj
thanks|N
the|Det
their|Det
them|Pron
these|Det
thick|Adj
thin|Adj
think|V,N,Adj
third|N
thirty|N
those|Det
though|Conj
threat|N
throat|N
thus|Adv
tie|V,N
tight|Adj
tire|N
to|Prep
too|Adv
touch|V,N
tough|Adj
tour|N
trace|N
trail|N
treaty|N
troop|N
union|N
unless|Conj,Prep
unlike|Prep,Adj
urgent|Adj
user|N
value|N
vary|N
versus|N
via|Prep
victim|N
viewer|N
virtue|N
vision|N
voter|N
wake|N
wander|V
war|N
warn|V
watch|V,N
weak|Adj
week|N
weekly|Adv
weigh|N
weight|N
well|Adv
which|Det
while|Adv
white|Adj
who|Pron
whole|Adj
whom|Pron
whose|Pron
why|Adv
widely|Adv
wind|N
wipe|V
with|Prep
within|Prep,Adv
wooden|Adj
worker|N
works|N,V
would|Modal
wound|N,V
writer|N
yeah|Adv,N
yell|N
yes|N
yesterday|Adv,N
yet|Adv
yield|N
your|N
yours|N
Re:|Prefix
Fwd:|Prefix
Fw:|Prefix
